"loss","learning_rate","epoch","perplexity","steps","samples","model"
3.9345,5e-05,0.0,51.13657527588203,50,400,"PolyCoder"
3.3672,5e-05,0.0,28.9972210635471,100,800,"PolyCoder"
2.9824,5e-05,0.0,19.735124151009728,150,1200,"PolyCoder"
2.9487,5e-05,0.0,19.081132125922156,200,1600,"PolyCoder"
2.9319,5e-05,0.0,18.76324681940862,250,2000,"PolyCoder"
2.6628,5e-05,0.01,14.336374801949153,300,2400,"PolyCoder"
2.6249,5e-05,0.01,13.803193797669056,350,2800,"PolyCoder"
2.6475,5e-05,0.01,14.11869774329668,400,3200,"PolyCoder"
2.5025,5e-05,0.01,12.21298829764394,450,3600,"PolyCoder"
2.4752,5e-05,0.01,11.884083692172005,500,4000,"PolyCoder"
2.3901,5e-05,0.01,10.914585347005566,550,4400,"PolyCoder"
2.3986,5e-05,0.01,11.007754731382056,600,4800,"PolyCoder"
2.4082,5e-05,0.01,11.113938041203898,650,5200,"PolyCoder"
2.2924,5e-05,0.01,9.898665994194037,700,5600,"PolyCoder"
2.2283,5e-05,0.01,9.284069737843142,750,6000,"PolyCoder"
2.2513,5e-05,0.01,9.500077913557796,800,6400,"PolyCoder"
2.3319,5e-05,0.01,10.297488185395682,850,6800,"PolyCoder"
2.2606,5e-05,0.02,9.58884074556553,900,7200,"PolyCoder"
2.2127,5e-05,0.02,9.14036208401207,950,7600,"PolyCoder"
2.1626,5e-05,0.02,8.693711950237915,1000,8000,"PolyCoder"
2.2004,5e-05,0.02,9.028624226931251,1050,8400,"PolyCoder"
2.2186,5e-05,0.02,9.194449621644917,1100,8800,"PolyCoder"
2.1917,5e-05,0.02,8.950415895696247,1150,9200,"PolyCoder"
2.0964,5e-05,0.02,8.136824554220413,1200,9600,"PolyCoder"
2.1072,5e-05,0.02,8.22517851197909,1250,10000,"PolyCoder"
2.1229,5e-05,0.02,8.355332852724374,1300,10400,"PolyCoder"
2.0529,5e-05,0.02,7.7904607151373435,1350,10800,"PolyCoder"
2.1466,5e-05,0.02,8.555719442920246,1400,11200,"PolyCoder"
1.9904,5e-05,0.03,7.318460561135231,1450,11600,"PolyCoder"
2.0577,5e-05,0.03,7.82794481644369,1500,12000,"PolyCoder"
2.0693,5e-05,0.03,7.919277682795701,1550,12400,"PolyCoder"
2.0635,5e-05,0.03,7.873478817334735,1600,12800,"PolyCoder"
2.0462,5e-05,0.03,7.738439095376184,1650,13200,"PolyCoder"
1.9431,5e-05,0.03,6.980356570022814,1700,13600,"PolyCoder"
1.9794,5e-05,0.03,7.238398642802953,1750,14000,"PolyCoder"
2.0737,5e-05,0.03,7.954199275764381,1800,14400,"PolyCoder"
1.9373,5e-05,0.03,6.939987684851058,1850,14800,"PolyCoder"
1.9477,5e-05,0.03,7.012540175787773,1900,15200,"PolyCoder"
1.9754,5e-05,0.03,7.209502878288447,1950,15600,"PolyCoder"
1.8909,5e-05,0.03,6.6253287945047665,2000,16000,"PolyCoder"
1.9366,5e-05,0.04,6.935131393371979,2050,16400,"PolyCoder"
1.9234,5e-05,0.04,6.844189197946122,2100,16800,"PolyCoder"
1.8513,5e-05,0.04,6.368092664358222,2150,17200,"PolyCoder"
1.879,5e-05,0.04,6.546954632989411,2200,17600,"PolyCoder"
1.8881,5e-05,0.04,6.606803820946116,2250,18000,"PolyCoder"
1.7961,5e-05,0.04,6.026099787119132,2300,18400,"PolyCoder"
1.853,5e-05,0.04,6.378927628998154,2350,18800,"PolyCoder"
1.8187,5e-05,0.04,6.1638402468599,2400,19200,"PolyCoder"
1.7896,5e-05,0.04,5.987057164488877,2450,19600,"PolyCoder"
1.8701,5e-05,0.04,6.488945261369204,2500,20000,"PolyCoder"
1.8059,5e-05,0.04,6.0854458859513265,2550,20400,"PolyCoder"
1.8405,5e-05,0.04,6.299687317355647,2600,20800,"PolyCoder"
1.7538,5e-05,0.05,5.776511767083667,2650,21200,"PolyCoder"
1.8437,5e-05,0.05,6.319878605602483,2700,21600,"PolyCoder"
1.7786,5e-05,0.05,5.921560428153436,2750,22000,"PolyCoder"
1.8173,5e-05,0.05,6.155216908259795,2800,22400,"PolyCoder"
1.7939,5e-05,0.05,6.012856940060516,2850,22800,"PolyCoder"
1.8068,5e-05,0.05,6.090925252593815,2900,23200,"PolyCoder"
1.7142,5e-05,0.05,5.552231949613619,2950,23600,"PolyCoder"
1.7638,5e-05,0.05,5.834566675506521,3000,24000,"PolyCoder"
1.6848,5e-05,0.05,5.391372550004867,3050,24400,"PolyCoder"
1.8123,5e-05,0.05,6.124517635856296,3100,24800,"PolyCoder"
1.8116,5e-05,0.05,6.120231973667961,3150,25200,"PolyCoder"
1.7099,5e-05,0.06,5.528408609120127,3200,25600,"PolyCoder"
1.7414,5e-05,0.06,5.705325289466783,3250,26000,"PolyCoder"
1.6484,5e-05,0.06,5.19865532083733,3300,26400,"PolyCoder"
1.7064,5e-05,0.06,5.509093001020394,3350,26800,"PolyCoder"
1.7349,5e-05,0.06,5.668360939368294,3400,27200,"PolyCoder"
1.7132,5e-05,0.06,5.54668249285484,3450,27600,"PolyCoder"
1.6894,5e-05,0.06,5.416229992019582,3500,28000,"PolyCoder"
1.6272,5e-05,0.06,5.089603857853407,3550,28400,"PolyCoder"
1.662,5e-05,0.06,5.269839991773403,3600,28800,"PolyCoder"
1.6882,5e-05,0.06,5.409734414155347,3650,29200,"PolyCoder"
1.6867,5e-05,0.06,5.4016258954434955,3700,29600,"PolyCoder"
1.6334,5e-05,0.06,5.121257426437843,3750,30000,"PolyCoder"
1.6676,5e-05,0.07,5.299433881279294,3800,30400,"PolyCoder"
1.6281,5e-05,0.07,5.094186563233564,3850,30800,"PolyCoder"
1.6611,5e-05,0.07,5.265099269425862,3900,31200,"PolyCoder"
1.6384,5e-05,0.07,5.1469278361142266,3950,31600,"PolyCoder"
1.6353,5e-05,0.07,5.130997065274963,4000,32000,"PolyCoder"
1.6568,5e-05,0.07,5.242507948716306,4050,32400,"PolyCoder"
1.6852,5e-05,0.07,5.393529530392186,4100,32800,"PolyCoder"
1.5698,5e-05,0.07,4.805686960262979,4150,33200,"PolyCoder"
1.6059,5e-05,0.07,4.982341693020237,4200,33600,"PolyCoder"
1.6839,5e-05,0.07,5.386522497560841,4250,34000,"PolyCoder"
1.67,5e-05,0.07,5.312167797181167,4300,34400,"PolyCoder"
1.6242,5e-05,0.08,5.074357926611158,4350,34800,"PolyCoder"
1.563,5e-05,0.08,4.773119144999637,4400,35200,"PolyCoder"
1.6185,5e-05,0.08,5.04551636297433,4450,35600,"PolyCoder"
1.5611,5e-05,0.08,4.764058828650314,4500,36000,"PolyCoder"
1.586,5e-05,0.08,4.8841731103503525,4550,36400,"PolyCoder"
1.6377,5e-05,0.08,5.143326247332085,4600,36800,"PolyCoder"
1.5766,5e-05,0.08,4.838476991347632,4650,37200,"PolyCoder"
1.5926,5e-05,0.08,4.916515264585707,4700,37600,"PolyCoder"
1.604,5e-05,0.08,4.972884231237312,4750,38000,"PolyCoder"
1.6474,5e-05,0.08,5.1934592639779265,4800,38400,"PolyCoder"
1.5506,5e-05,0.08,4.714297912934567,4850,38800,"PolyCoder"
1.6357,5e-05,0.08,5.133049874635574,4900,39200,"PolyCoder"
1.5629,5e-05,0.09,4.772641856949937,4950,39600,"PolyCoder"
1.5548,5e-05,0.09,4.734139602549809,5000,40000,"PolyCoder"
1.5396,5e-05,0.09,4.662724807997202,5050,40400,"PolyCoder"
1.5202,5e-05,0.09,4.573139731631788,5100,40800,"PolyCoder"
1.4923,5e-05,0.09,4.447312583817887,5150,41200,"PolyCoder"
1.5124,5e-05,0.09,4.537607995641142,5200,41600,"PolyCoder"
1.5732,5e-05,0.09,4.822054104305733,5250,42000,"PolyCoder"
1.5372,5e-05,0.09,4.651547686368979,5300,42400,"PolyCoder"
1.5242,5e-05,0.09,4.591468924505144,5350,42800,"PolyCoder"
1.5354,5e-05,0.09,4.643182431521498,5400,43200,"PolyCoder"
1.5088,5e-05,0.09,4.521301975303939,5450,43600,"PolyCoder"
1.4441,5e-05,0.1,4.238036193326745,5500,44000,"PolyCoder"
1.4869,5e-05,0.1,4.4233618211248675,5550,44400,"PolyCoder"
1.5053,5e-05,0.1,4.505505079084755,5600,44800,"PolyCoder"
1.528,5e-05,0.1,4.608949698854334,5650,45200,"PolyCoder"
1.4598,5e-05,0.1,4.3050984225529865,5700,45600,"PolyCoder"
1.502,5e-05,0.1,4.490661417835456,5750,46000,"PolyCoder"
1.5052,5e-05,0.1,4.505054551103621,5800,46400,"PolyCoder"
1.5332,5e-05,0.1,4.632978658438063,5850,46800,"PolyCoder"
1.4984,5e-05,0.1,4.474524101329258,5900,47200,"PolyCoder"
1.5072,5e-05,0.1,4.514073676324674,5950,47600,"PolyCoder"
1.5269,5e-05,0.1,4.603882641578024,6000,48000,"PolyCoder"
1.5071,5e-05,0.1,4.513622291526658,6050,48400,"PolyCoder"
1.4809,5e-05,0.11,4.3969011117084476,6100,48800,"PolyCoder"
1.4315,5e-05,0.11,4.1849719440991215,6150,49200,"PolyCoder"
1.4749,5e-05,0.11,4.370598691206916,6200,49600,"PolyCoder"
1.4815,5e-05,0.11,4.399540043975985,6250,50000,"PolyCoder"
1.5027,5e-05,0.11,4.493805981296749,6300,50400,"PolyCoder"
1.4844,5e-05,0.11,4.41231722806577,6350,50800,"PolyCoder"
1.4962,5e-05,0.11,4.4646909687182355,6400,51200,"PolyCoder"
1.439,5e-05,0.11,4.216477230824191,6450,51600,"PolyCoder"
1.477,5e-05,0.11,4.379786592378126,6500,52000,"PolyCoder"
1.4634,5e-05,0.11,4.320624707418552,6550,52400,"PolyCoder"
1.5151,5e-05,0.11,4.549876091706193,6600,52800,"PolyCoder"
1.4612,5e-05,0.11,4.311129781310569,6650,53200,"PolyCoder"
1.5092,5e-05,0.12,4.523110857846452,6700,53600,"PolyCoder"
1.4853,5e-05,0.12,4.416290101095724,6750,54000,"PolyCoder"
1.47,5e-05,0.12,4.349235141062741,6800,54400,"PolyCoder"
1.4471,5e-05,0.12,4.25076939215507,6850,54800,"PolyCoder"
1.4431,5e-05,0.12,4.233800275445352,6900,55200,"PolyCoder"
1.4864,5e-05,0.12,4.42115069304239,6950,55600,"PolyCoder"
1.4348,5e-05,0.12,4.198805163773468,7000,56000,"PolyCoder"
1.4442,5e-05,0.12,4.238460018136965,7050,56400,"PolyCoder"
1.4605,5e-05,0.12,4.3081130464440385,7100,56800,"PolyCoder"
1.4827,5e-05,0.12,4.404822660965035,7150,57200,"PolyCoder"
1.4533,5e-05,0.12,4.277206031282414,7200,57600,"PolyCoder"
1.4029,5e-05,0.13,4.0669771153600545,7250,58000,"PolyCoder"
1.3983,5e-05,0.13,4.048311983345869,7300,58400,"PolyCoder"
1.4478,5e-05,0.13,4.253745972411124,7350,58800,"PolyCoder"
1.4548,5e-05,0.13,4.283626654592953,7400,59200,"PolyCoder"
1.358,5e-05,0.13,3.8884087023859,7450,59600,"PolyCoder"
1.4223,5e-05,0.13,4.146646768341752,7500,60000,"PolyCoder"
1.4412,5e-05,0.13,4.225763692093862,7550,60400,"PolyCoder"
1.4362,5e-05,0.13,4.204687607752736,7600,60800,"PolyCoder"
1.4588,5e-05,0.13,4.300795475962309,7650,61200,"PolyCoder"
1.4197,5e-05,0.13,4.135879490271122,7700,61600,"PolyCoder"
1.4787,5e-05,0.13,4.387238561964635,7750,62000,"PolyCoder"
1.3809,5e-05,0.13,3.978480649277712,7800,62400,"PolyCoder"
1.3999,5e-05,0.14,4.054794467123314,7850,62800,"PolyCoder"
1.4073,5e-05,0.14,4.084911240809915,7900,63200,"PolyCoder"
1.4081,5e-05,0.14,4.088180477322808,7950,63600,"PolyCoder"
1.4637,5e-05,0.14,4.321921089278333,8000,64000,"PolyCoder"
1.427,5e-05,0.14,4.166181879703789,8050,64400,"PolyCoder"
1.3761,5e-05,0.14,3.9594297010148165,8100,64800,"PolyCoder"
1.3848,5e-05,0.14,3.9940270195268615,8150,65200,"PolyCoder"
1.349,5e-05,0.14,3.853570033236299,8200,65600,"PolyCoder"
1.3403,5e-05,0.14,3.8201893902920907,8250,66000,"PolyCoder"
1.3642,5e-05,0.14,3.9125917262484298,8300,66400,"PolyCoder"
1.3544,5e-05,0.14,3.874435597736629,8350,66800,"PolyCoder"
1.3722,5e-05,0.15,3.94401799753697,8400,67200,"PolyCoder"
1.3707,5e-05,0.15,3.938106405343233,8450,67600,"PolyCoder"
1.3726,5e-05,0.15,3.945595920299498,8500,68000,"PolyCoder"
1.3503,5e-05,0.15,3.858582931957692,8550,68400,"PolyCoder"
1.3811,5e-05,0.15,3.9792764249824852,8600,68800,"PolyCoder"
1.3062,5e-05,0.15,3.692116976815983,8650,69200,"PolyCoder"
1.3682,5e-05,0.15,3.928273435663313,8700,69600,"PolyCoder"
1.4087,5e-05,0.15,4.090634121628885,8750,70000,"PolyCoder"
1.3968,5e-05,0.15,4.04224406744551,8800,70400,"PolyCoder"
1.3588,5e-05,0.15,3.8915206739704704,8850,70800,"PolyCoder"
1.3462,5e-05,0.15,3.8427951290487035,8900,71200,"PolyCoder"
1.4132,5e-05,0.15,4.109083455043158,8950,71600,"PolyCoder"
1.3442,5e-05,0.16,3.8351172192596983,9000,72000,"PolyCoder"
1.3718,5e-05,0.16,3.942440705817329,9050,72400,"PolyCoder"
1.4373,5e-05,0.16,4.209315308890264,9100,72800,"PolyCoder"
1.3356,5e-05,0.16,3.8022766281232117,9150,73200,"PolyCoder"
1.4037,5e-05,0.16,4.070231998832138,9200,73600,"PolyCoder"
1.3275,5e-05,0.16,3.7716025850201285,9250,74000,"PolyCoder"
1.3062,5e-05,0.16,3.692116976815983,9300,74400,"PolyCoder"
1.3265,5e-05,0.16,3.7678328676079578,9350,74800,"PolyCoder"
1.3619,5e-05,0.16,3.9036031061536502,9400,75200,"PolyCoder"
1.3628,5e-05,0.16,3.907117930382841,9450,75600,"PolyCoder"
1.2672,5e-05,0.16,3.550896120704112,9500,76000,"PolyCoder"
1.3365,5e-05,0.17,3.805700217472638,9550,76400,"PolyCoder"
1.3001,5e-05,0.17,3.6696636156331013,9600,76800,"PolyCoder"
1.3036,5e-05,0.17,3.6825299412232284,9650,77200,"PolyCoder"
1.2947,5e-05,0.17,3.6499008396274197,9700,77600,"PolyCoder"
1.3211,5e-05,0.17,3.7475414063764267,9750,78000,"PolyCoder"
1.3084,5e-05,0.17,3.7002485756439443,9800,78400,"PolyCoder"
1.2969,5e-05,0.17,3.6579394607155535,9850,78800,"PolyCoder"
1.3004,5e-05,0.17,3.670764679869168,9900,79200,"PolyCoder"
1.3187,5e-05,0.17,3.738558091291216,9950,79600,"PolyCoder"
1.3042,5e-05,0.17,3.684740122175943,10000,80000,"PolyCoder"
1.3115,5e-05,0.17,3.7117371443094456,10050,80400,"PolyCoder"
1.2897,5e-05,0.17,3.6316968832451324,10100,80800,"PolyCoder"
1.2786,5e-05,0.18,3.5916079530161276,10150,81200,"PolyCoder"
1.3164,5e-05,0.18,3.7299692885905826,10200,81600,"PolyCoder"
1.2775,5e-05,0.18,3.5876593563941026,10250,82000,"PolyCoder"
1.2966,5e-05,0.18,3.656842243468155,10300,82400,"PolyCoder"
1.3386,5e-05,0.18,3.8137005853754933,10350,82800,"PolyCoder"
1.2882,5e-05,0.18,3.626253421537194,10400,83200,"PolyCoder"
1.2782,5e-05,0.18,3.590171597125251,10450,83600,"PolyCoder"
1.3677,5e-05,0.18,3.9263097898978314,10500,84000,"PolyCoder"
1.2851,5e-05,0.18,3.6150294420871116,10550,84400,"PolyCoder"
1.2527,5e-05,0.18,3.499779617204871,10600,84800,"PolyCoder"
1.276,5e-05,0.18,3.5822819014589853,10650,85200,"PolyCoder"
1.2912,5e-05,0.18,3.637148516272589,10700,85600,"PolyCoder"
1.2797,5e-05,0.19,3.595560895484215,10750,86000,"PolyCoder"
1.2675,5e-05,0.19,3.5519615493466286,10800,86400,"PolyCoder"
1.2632,5e-05,0.19,3.536720905551882,10850,86800,"PolyCoder"
1.2941,5e-05,0.19,3.647711555974418,10900,87200,"PolyCoder"
1.3179,5e-05,0.19,3.735568440837813,10950,87600,"PolyCoder"
1.2869,5e-05,0.19,3.621542354945955,11000,88000,"PolyCoder"
